,Country,Number of Unicorns
0,Argentina,1
1,Australia,6
2,Austria,2
3,Bahamas,1
4,Belgium,3
5,Bermuda,1
6,Brazil,16
7,Canada,19
8,Chile,2
9,China,168
10,Colombia,2
11,Croatia,1
12,Czech Republic,1
13,Denmark,2
14,Estonia,2
15,Finland,3
16,France,24
17,Germany,24
18,Hong Kong,6
19,India,63
20,Indonesia,7
21,Ireland,5
22,Israel,20
23,Italy,1
24,Japan,6
25,Lithuania,1
26,Luxembourg,1
27,Malaysia,1
28,Mexico,6
29,Netherlands,6
30,Nigeria,1
31,Norway,4
32,Philippines,2
33,Senegal,1
34,Singapore,12
35,South Africa,2
36,South Korea,12
37,Spain,3
38,Sweden,6
39,Switzerland,5
40,Thailand,2
41,Turkey,3
42,United Arab Emirates,3
43,United Kingdom,42
44,United States,536
45,Vietnam,2
